Journal title,NLM TA,pISSN,eISSN,Publisher,LOCATORplus ID,Latest issue,Earliest volume,Free access,Open access,Participation level, Deposit status, Journal URL
"3 Biotech","3 Biotech","2190-572X","2190-5738","Springer","","v.14(6);Jun 2024","v.1;2011","12 months","Some"," Full "," ",http://europepmc.org/journals/1936/
"3D Printing and Additive Manufacturing","3D Print Addit Manuf","2329-7662","2329-7670","Mary Ann Liebert, Inc.","","v.11(2);April 2024","v.7;2020","12 months","Some"," Full "," ",http://europepmc.org/journals/4368/
"3D Printing in Medicine","3D Print Med","","2365-6271","BMC","","v.10;Dec 2024","v.2;2016","Immediate","All"," Full "," ",http://europepmc.org/journals/3552/
"AACE Clinical Case Reports","AACE Clin Case Rep","","2376-0605","American Association of Clinical Endocrinology","","v.10(3);May-Jun 2024","v.5;2019","Immediate","Some"," Full "," ",http://europepmc.org/journals/3762/
"The AAPS Journal","AAPS J","","1550-7416","American Association of Pharmaceutical Scientists","","v.18(3);May 2016","v.6;2004","","Some"," Full "," No New Content ",http://europepmc.org/journals/262/
"AAPS PharmSci","AAPS PharmSci","","1522-1059","American Association of Pharmaceutical Scientists","","v.6(2);Jun 2004","v.1;1999","Immediate","No"," Full "," Predecessor ",http://europepmc.org/journals/1196/
"AAPS PharmSciTech","AAPS PharmSciTech","","1530-9932","American Association of Pharmaceutical Scientists","","v.17(2);Apr 2016","v.1;2000","","Some"," Full "," No New Content ",http://europepmc.org/journals/1403/
"AAS Open Research","AAS Open Res","","2515-9321","African Academy of Sciences","","v.5;2022","v.1;2018","Immediate","All"," Full "," Predecessor ",http://europepmc.org/journals/3852/
"aBIOTECH","aBIOTECH","2096-6326","2662-1738","Springer","","v.5(1);Mar 2024","v.1;2020","12 months","Some"," Full "," ",http://europepmc.org/journals/4322/
"Academic Forensic Pathology","Acad Forensic Pathol","","1925-3621","SAGE Publications","","v.13(3-4);Dec 2023","v.6;2016","12 months","Some"," Full "," ",http://europepmc.org/journals/3675/
"Academic Pathology","Acad Pathol","","2374-2895","Elsevier","","v.11(2);Apr-Jun 2024","v.1;2014","Immediate","Some"," Full "," ",http://europepmc.org/journals/3206/
"Access Microbiology","Access Microbiol","","2516-8290","Microbiology Society","","v.6(5);2024","v.1;2019","Immediate","All"," Full "," ",http://europepmc.org/journals/3965/
"ACG Case Reports Journal","ACG Case Rep J","","2326-3253","American College of Gastroenterology","","v.11(6);Jun 2024","v.1;2013","Immediate","Some"," Full "," ",http://europepmc.org/journals/2742/
"ACR Open Rheumatology","ACR Open Rheumatol","","2578-5745","Wiley","","v.6(6);Jun 2024","v.1;2019","Immediate","Some"," Full "," ",http://europepmc.org/journals/3757/
"ACS Bio &#x0026; Med Chem Au","ACS Bio Med Chem Au","","2694-2437","American Chemical Society","","v.4(3);Jun 19, 2024","v.1;2021","Immediate","All"," Full "," ",http://europepmc.org/journals/4441/
"ACS Central Science","ACS Cent Sci","2374-7943","2374-7951","American Chemical Society","","v.10(5);May 22, 2024","v.1;2015","Immediate","Some"," Full "," ",http://europepmc.org/journals/2921/
"ACS Chemical Neuroscience","ACS Chem Neurosci","","1948-7193","American Chemical Society","","v.5(8);Aug 20, 2014","v.1;2010","","Some"," Full "," No New Content ",http://europepmc.org/journals/1877/
"ACS Environmental Au","ACS Environ Au","","2694-2518","American Chemical Society","","v.4(3);May 15, 2024","v.1;2021","Immediate","All"," Full "," ",http://europepmc.org/journals/4442/
"ACS Materials Au","ACS Mater Au","","2694-2461","American Chemical Society","","v.4(3);May 8, 2024","v.1;2021","Immediate","All"," Full "," ",http://europepmc.org/journals/4401/
"ACS Measurement Science Au","ACS Meas Sci Au","","2694-250X","American Chemical Society","","v.4(3);Jun 19, 2024","v.1;2021","Immediate","All"," Full "," ",http://europepmc.org/journals/4384/
"ACS Medicinal Chemistry Letters","ACS Med Chem Lett","","1948-5875","American Chemical Society","","v.15(6);Jun 13, 2024","v.1;2010","12 months or less","Some"," Full "," ",http://europepmc.org/journals/2463/
"ACS Nanoscience Au","ACS Nanosci Au","","2694-2496","American Chemical Society","","v.4(3);Jun 19, 2024","v.1;2021","Immediate","All"," Full "," ",http://europepmc.org/journals/4443/
"ACS Omega","ACS Omega","","2470-1343","American Chemical Society","","v.9(24);Jun 18, 2024","v.1;2016","Immediate","Some"," Full "," ",http://europepmc.org/journals/3709/
"ACS Organic &#x0026; Inorganic Au","ACS Org Inorg Au","","2694-247X","American Chemical Society","","v.4(3);Jun 5, 2024","v.1;2021","Immediate","All"," Full "," ",http://europepmc.org/journals/4402/
"ACS Pharmacology &#x0026; Translational Science","ACS Pharmacol Transl Sci","","2575-9108","American Chemical Society","","v.7(4);Apr 12, 2024","v.1;2018","12 months","Some"," Full "," ",http://europepmc.org/journals/3819/
"ACS Physical Chemistry Au","ACS Phys Chem Au","","2694-2445","American Chemical Society","","v.4(3);May 22, 2024","v.1;2021","Immediate","All"," Full "," ",http://europepmc.org/journals/4403/
"ACS Polymers Au","ACS Polym Au","","2694-2453","American Chemical Society","","v.4(3);Jun 12, 2024","v.1;2021","Immediate","All"," Full "," ",http://europepmc.org/journals/4404/
"Acta Biochimica et Biophysica Sinica","Acta Biochim Biophys Sin (Shanghai)","1672-9145","1745-7270","Acta Biochimica et Biophysica Sinica Editorial Office","","v.56(5);May 25, 2024","v.41;2009","Immediate","Some"," Full "," ",http://europepmc.org/journals/263/
"Acta Biochimica Polonica","Acta Biochim Pol","0001-527X","1734-154X","Frontiers Media SA","","v.71;2024","v.71;2024","Immediate","All"," Full "," ",http://europepmc.org/journals/4640/
"Acta Biomaterialia Odontologica Scandinavica","Acta Biomater Odontol Scand","","2333-7931","MJS Publishing","","v.5(1);2019","v.1;2015","Immediate","All"," Full "," Predecessor ",http://europepmc.org/journals/3194/
"Acta Bio Medica : Atenei Parmensis","Acta Biomed","0392-4203","2531-6745","Mattioli 1885","","v.94(6);2023","v.87;2016","","All"," Full "," No New Content ",http://europepmc.org/journals/3641/
"Acta Cardiologica Sinica","Acta Cardiol Sin","1011-6842","","Taiwan Society of Cardiology","","v.40(3);May 2024","v.29;2013","Immediate","No"," Full "," ",http://europepmc.org/journals/2913/
"Acta Cir&#x00FA;rgica Brasileira","Acta Cir Bras","0102-8650","1678-2674","Sociedade Brasileira para Desenvolvimento Pesquisa em Cirurgia","","v.39;2024","v.34;2019","Immediate","All"," Full "," ",http://europepmc.org/journals/3680/
"Acta Clinica Croatica","Acta Clin Croat","0353-9466","1333-9451","Sestre Milosrdnice University Hospital Center","","v.62(2);Aug 2023","v.57;2018","Immediate","Some"," Full "," ",http://europepmc.org/journals/3662/
"Acta Crystallographica Section A: Foundations of Crystallography","Acta Crystallogr A","0108-7673","1600-5724","International Union of Crystallography","","v.69(Pt 5);Sep 1, 2013","v.63;2007","12 months","Some"," NIH Portfolio "," Predecessor ",https://www.ncbi.nlm.nih.gov/pmc/?term=%22Acta+Crystallogr+A%22%5Bjournal%5D
"Acta Crystallographica. Section A, Foundations and Advances","Acta Crystallogr A Found Adv","","2053-2733","International Union of Crystallography","","v.80(Pt 3);May 1, 2024","v.70;2014","12 months","Some"," NIH Portfolio "," ",https://www.ncbi.nlm.nih.gov/pmc/?term=%22Acta+Crystallogr+A+Found+Adv%22%5Bjournal%5D
"Acta Crystallographica Section B: Structural Science","Acta Crystallogr B","0108-7681","1600-5740","International Union of Crystallography","","v.67(Pt 6);Dec 1, 2011","v.64;2008","12 months","Some"," NIH Portfolio "," Predecessor ",https://www.ncbi.nlm.nih.gov/pmc/?term=%22Acta+Crystallogr+B%22%5Bjournal%5D
"Acta Crystallographica Section B, Structural Science, Crystal Engineering and Materials","Acta Crystallogr B Struct Sci Cryst Eng Mater","2052-5192","2052-5206","International Union of Crystallography","","v.80(Pt 3);Jun 1, 2024","v.69;2013","12 months","Some"," NIH Portfolio "," ",https://www.ncbi.nlm.nih.gov/pmc/?term=%22Acta+Crystallogr+B+Struct+Sci+Cryst+Eng+Mater%22%5Bjournal%5D
"Acta Crystallographica Section C: Crystal Structure Communications","Acta Crystallogr C","0108-2701","1600-5759","International Union of Crystallography","","v.69(Pt 11);Nov 15, 2013","v.64;2008","12 months","Some"," NIH Portfolio "," Predecessor ",https://www.ncbi.nlm.nih.gov/pmc/?term=%22Acta+Crystallogr+C%22%5Bjournal%5D
"Acta Crystallographica. Section C, Structural Chemistry","Acta Crystallogr C Struct Chem","","2053-2296","International Union of Crystallography","","v.80(Pt 6);Jun 1, 2024","v.70;2014","12 months","Some"," NIH Portfolio "," ",https://www.ncbi.nlm.nih.gov/pmc/?term=%22Acta+Crystallogr+C+Struct+Chem%22%5Bjournal%5D
"Acta Crystallographica Section D: Biological Crystallography","Acta Crystallogr D Biol Crystallogr","0907-4449","1399-0047","International Union of Crystallography","","v.71(Pt 12);Dec 1, 2015","v.55;1999","Immediate","Some"," NIH Portfolio "," Predecessor ",https://www.ncbi.nlm.nih.gov/pmc/?term=%22Acta+Crystallogr+D+Biol+Crystallogr%22%5Bjournal%5D
"Acta Crystallographica. Section D, Structural Biology","Acta Crystallogr D Struct Biol","","2059-7983","International Union of Crystallography","","v.80(Pt 6);Jun 1, 2024","v.72;2016","12 months","Some"," NIH Portfolio "," ",https://www.ncbi.nlm.nih.gov/pmc/?term=%22Acta+Crystallogr+D+Struct+Biol%22%5Bjournal%5D
"Acta Crystallographica Section E: Crystallographic Communications","Acta Crystallogr E Crystallogr Commun","","2056-9890","International Union of Crystallography","","v.80(Pt 6);May 1, 2024","v.71;2015","Immediate","All"," Full "," ",http://europepmc.org/journals/2664/
"Acta Crystallographica. Section F, Structural Biology Communications","Acta Crystallogr F Struct Biol Commun","","2053-230X","International Union of Crystallography","","v.80(Pt 6);Jun 1, 2024","v.70;2014","12 months or less","Some"," Full "," ",http://europepmc.org/journals/2374/
"Acta Crystallographica Section E: Structure Reports Online","Acta Crystallogr Sect E Struct Rep Online","","1600-5368","International Union of Crystallography","","v.70(Pt 12);Dec 1, 2014","v.64;2008","Immediate","All"," Full "," Predecessor ",http://europepmc.org/journals/1458/
"Acta Crystallographica Section F: Structural Biology and Crystallization Communications","Acta Crystallogr Sect F Struct Biol Cryst Commun","","1744-3091","International Union of Crystallography","","v.69(Pt 12);Dec 1, 2013","v.61;2005","12 months or less","Some"," Full "," Predecessor ",http://europepmc.org/journals/272/
"Acta Cytologica","Acta Cytol","0001-5547","1938-2650","Karger Publishers","","v.55(6);Dec 2011","v.55;2011","","No"," NIH Portfolio "," No New Content ",https://www.ncbi.nlm.nih.gov/pmc/?term=%22Acta+Cytol%22%5Bjournal%5D
"Acta Dermato-Venereologica","Acta Derm Venereol","0001-5555","1651-2057","MJS Publishing","","v.104;2024","v.100;2020","Immediate","Some"," Full "," ",http://europepmc.org/journals/4318/
"Acta Endocrinologica (Bucharest)","Acta Endocrinol (Buchar)","1841-0987","1843-066X","Acta Endocrinologica Foundation","","v.19(3);Jul-Sep 2023","v.12;2016","6 months","No"," Full "," ",http://europepmc.org/journals/3653/
"Acta Haematologica","Acta Haematol","0001-5792","1421-9662","Karger Publishers","","v.127(3);Mar 2012","v.121;2009","","No"," NIH Portfolio "," No New Content ",https://www.ncbi.nlm.nih.gov/pmc/?term=%22Acta+Haematol%22%5Bjournal%5D
"Acta Histochemica et Cytochemica","Acta Histochem Cytochem","0044-5991","1347-5800","Japan Society of Histochemistry and Cytochemistry","","v.57(2);Apr 25, 2024","v.39;2006","Immediate","All"," Full "," ",http://europepmc.org/journals/273/
"Acta Informatica Medica","Acta Inform Med","0353-8109","1986-5988","Academy of Medical Sciences of Bosnia and Herzegovina, Sarajevo, Bosnia and Herzegovina","","v.32(1);2024","v.16;2008","Immediate","Some"," Full "," ",http://europepmc.org/journals/2008/
"Acta Medica Academica","Acta Med Acad","1840-1848","1840-2879","Academy of Sciences and Arts of Bosnia and Herzegovina","","v.52(3);2023","v.51;2022","Immediate","All"," Full "," ",http://europepmc.org/journals/4414/
"Acta Medica Lituanica","Acta Med Litu","1392-0138","2029-4174","Vilnius University Press","","v.30(2);2023","v.23;2016","Immediate","Some"," Full "," ",http://europepmc.org/journals/3149/
"Acta Medica Philippina","Acta Med Philipp","0001-6071","2094-9278","University of the Philippines Manila","","v.58(9);2024","v.58;2024","Immediate","All"," Full "," ",http://europepmc.org/journals/4653/
"Acta Myologica","Acta Myol","1128-2460","2532-1900","Pacini Editore","","v.43(1);2024","v.26;2007","Immediate","Some"," Full "," ",http://europepmc.org/journals/1417/
"Acta Naturae","Acta Naturae","2075-8251","","National Research University Higher School of Economics","","v.16(1);Jan-Mar 2024","v.1;2009","Immediate","All"," Full "," ",http://europepmc.org/journals/1859/
"Acta Neuropathologica Communications","Acta Neuropathol Commun","","2051-5960","BMC","","v.12;2024","v.1;2013","Immediate","All"," Full "," ",http://europepmc.org/journals/2258/
"Acta Obstetricia et Gynecologica Scandinavica","Acta Obstet Gynecol Scand","0001-6349","1600-0412","Nordic Federation of Societies of Obstetrics and Gynecology (NFOG) and John Wiley & Sons Ltd","","v.103(7);Jul 2024","v.101;2021","Immediate","Some"," Full "," ",http://europepmc.org/journals/4349/
"Acta Odontol&#x000f3;gica Latinoamericana","Acta Odontol Latinoam","0326-4815","1852-4834","Sociedad Argentina de Investigaci&#x000f3;n Odontol&#x000f3;gica","","v.36(3);Dec 31, 2023","v.34;2021","Immediate","All"," Full "," ",http://europepmc.org/journals/4489/
"Acta Orthopaedica","Acta Orthop","1745-3674","1745-3682","Nordic Orthopaedic Federation","","v.95;2024","v.80;2009","Immediate","Some"," Full "," ",http://europepmc.org/journals/274/
"Acta Orthopaedica et Traumatologica Turcica","Acta Orthop Traumatol Turc","1017-995X","2589-1294","Turkish Association of Orthopaedics and Traumatology","","v.58(2);Mar 2024","v.50;2016","Immediate","Some"," Full "," ",http://europepmc.org/journals/3497/
"Acta Ortopedica Brasileira","Acta Ortop Bras","1413-7852","1809-4406","Department of Orthopedics and Traumatology, Faculdade de Medicina da Universidade de S&#x00e3;o Paulo","","v.32(spe1);2024","v.20;2012","Immediate","All"," Full "," ",http://europepmc.org/journals/2332/
"Acta Otorhinolaryngologica Italica","Acta Otorhinolaryngol Ital","0392-100X","1827-675X","Pacini Editore","","v.44(3);Jun 2024","v.25;2005","Immediate","Some"," Full "," ",http://europepmc.org/journals/276/
"Acta Pharmaceutica Sinica. B","Acta Pharm Sin B","2211-3835","2211-3843","Elsevier","","v.14(6);Jun 2024","v.4;2014","Immediate","Some"," Full "," ",http://europepmc.org/journals/2830/
"Acta Pharmacologica Sinica","Acta Pharmacol Sin","1671-4083","1745-7254","Nature Publishing Group","","v.45(7);Jul 2024","v.30;2009","12 months","Some"," Full "," ",http://europepmc.org/journals/2543/
"Acta Radiologica Open","Acta Radiol Open","","2058-4601","SAGE Publications","","v.13(7);Jul 2024","v.4;2015","Immediate","All"," Full "," ",http://europepmc.org/journals/2685/
"Acta Radiologica Short Reports","Acta Radiol Short Rep","","2047-9816","SAGE Publications","","v.4(1);Jan 2015","v.1;2012","Immediate","All"," Full "," Predecessor ",http://europepmc.org/journals/2200/
"Acta Stomatologica Croatica","Acta Stomatol Croat","0001-7019","1846-0410","University of Zagreb: School of Dental Medicine","","v.58(1);Mar 2024","v.48;2014","Immediate","Some"," Full "," ",http://europepmc.org/journals/3049/
"Acta Veterinaria Scandinavica","Acta Vet Scand","0044-605X","1751-0147","BMC","","v.66;2024","v.6;1965","Immediate","Some"," Full "," ",http://europepmc.org/journals/275/
"Actas Espa&#x00F1;olas de Psiquiatr&#x00ED;a","Actas Esp Psiquiatr","1139-9287","1578-2735","Fundaci&#x00F3;n Juan Jos&#x00E9; L&#x00F3;pez-Ibor","","v.52(3);May-Jun 2024","v.49;2021","Immediate","All"," Full "," ",http://europepmc.org/journals/4294/
"Acute and Critical Care","Acute Crit Care","2586-6052","2586-6060","Korean Society of Critical Care Medicine","","v.39(2);May 2024","v.33;2018","Immediate","All"," Full "," ",http://europepmc.org/journals/3744/
"Acute Medicine &#x0026; Surgery","Acute Med Surg","","2052-8817","Wiley","","v.11(1);Jan-Dec 2024","v.1;2014","Immediate","Some"," Full "," ",http://europepmc.org/journals/3286/
"Addictive Behaviors Reports","Addict Behav Rep","","2352-8532","Elsevier","","v.19;Jun 2024","v.1;2015","Immediate","Some"," Full "," ",http://europepmc.org/journals/3346/
"Addiction Biology","Addict Biol","1355-6215","1369-1600","Wiley","","v.29(6);Jun 2024","v.29;2024","Immediate","Some"," Full "," ",http://europepmc.org/journals/4612/
"Addiction &#x0026; Health","Addict Health","2008-4633","2008-8469","Kerman University of Medical Sciences","","v.16(1);Feb 2024","v.1;2009","Immediate","All"," Full "," ",http://europepmc.org/journals/2346/
"Addiction Science &#x0026; Clinical Practice","Addict Sci Clin Pract","1940-0632","1940-0640","BMC","","v.19;2024","v.4;2007","Immediate","All"," Full "," ",http://europepmc.org/journals/351/
"Adipocyte","Adipocyte","2162-3945","2162-397X","Taylor &#x0026; Francis","","v.13(1);2024","v.1;2012","Immediate","Some"," Full "," ",http://europepmc.org/journals/2116/
"ADMET &#x0026; DMPK","ADMET DMPK","","1848-7718","International Association of Physical Chemists","","v.12(2);2024","v.7;2019","Immediate","All"," Full "," ",http://europepmc.org/journals/4209/
